roi_id,center_x,center_y,bounds,spot_count,crop_path,pubmed_relevant,pubmed_evaluated,pathways_relevant,pathways_evaluated,image_to_gene,supported_claims,verifiable_claims,unsupported_claims,unsupported_genes,mentioned_genes,biological_reasonableness,roi_specificity,clarity_understandability,hypothesis_usefulness,decision_quality,trust,adoption,copilot_seconds,time_saved_seconds,time_saved_percent,connected_stage_count,tool_call_count,manual_data_reentry_steps,trace_valid,status,answer_generated,judge_status,errors,judge_errors
real_roi_01,1059.6839572989002,1055.935608238456,"[931.6839572989002, 927.9356082384561, 1187.6839572989002, 1183.935608238456]",5329,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_01_931_927_1187_1183.png,2,3,4,5,FAIL,5,6,1,0,22,3.0,4.0,4.0,3.0,3.0,3.0,3.0,23.19013469699985,14376.809865303,99.83895739793749,5,3,0,True,completed,True,completed,,
real_roi_02,603.6102318688322,913.2349005670136,"[475.6102318688322, 785.2349005670136, 731.6102318688322, 1041.2349005670135]",5329,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_02_475_785_731_1041.png,3,3,3,5,PASS,6,6,0,0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.52439011200022,14380.475609887999,99.86441395755554,5,3,0,True,completed,True,completed,,
real_roi_03,1341.7161954056426,1122.058933610728,"[1213.7161954056426, 994.058933610728, 1469.7161954056426, 1250.058933610728]",5329,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_03_1213_994_1469_1250.png,3,3,4,5,PASS,6,6,0,0,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,24.873097760000746,14375.12690224,99.82727015444443,5,3,0,True,completed,True,completed,,
real_roi_04,1052.7416013930515,1432.0315744279765,"[924.7416013930515, 1304.0315744279765, 1180.7416013930515, 1560.0315744279765]",5329,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_04_924_1304_1180_1560.png,3,3,4,5,PASS,6,6,0,0,24,4.0,4.0,4.0,4.0,4.0,4.0,4.0,23.70194109899967,14376.298058901,99.8354031868125,5,3,0,True,completed,True,completed,,
real_roi_05,666.4265254224681,1588.716468792862,"[538.4265254224681, 1460.716468792862, 794.4265254224681, 1716.716468792862]",5329,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_05_538_1460_794_1716.png,3,3,0,0,PASS,6,6,0,0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21.600268385999698,14378.399731614001,99.84999813620834,5,3,0,True,completed,True,completed,,
real_roi_06,1031.8745957666997,1724.4595637415541,"[903.8745957666997, 1596.4595637415541, 1159.8745957666997, 1852.4595637415541]",4292,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_06_903_1596_1159_1852.png,2,3,4,5,PASS,6,6,0,0,8,4.0,5.0,4.0,4.0,4.0,4.0,4.0,35.817899307000516,14364.182100693,99.75126458814583,5,3,0,True,completed,True,completed,,
real_roi_07,398.52960895820024,1707.061925487545,"[270.52960895820024, 1579.061925487545, 526.5296089582002, 1835.061925487545]",2799,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_07_270_1579_526_1835.png,2,3,3,5,PASS,6,6,0,0,6,4.0,5.0,5.0,4.0,4.0,4.0,4.0,17.891885930999706,14382.108114069,99.87575079214584,5,3,0,True,completed,True,completed,,
real_roi_08,1369.51427317528,1776.6736279883326,"[1241.51427317528, 1648.6736279883326, 1497.51427317528, 1904.6736279883326]",5329,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_08_1241_1648_1497_1904.png,2,3,5,5,PASS,6,6,0,0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.962501529000292,14383.037498471,99.88220485049305,5,3,0,True,completed,True,completed,,
real_roi_09,1474.0796206156422,850.3131637363509,"[1346.0796206156422, 722.3131637363509, 1602.0796206156422, 978.3131637363509]",4474,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_09_1346_722_1602_978.png,2,3,2,5,PASS,6,6,0,0,7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,23.161073631000363,14376.838926369,99.83915921089584,5,3,0,True,completed,True,completed,,
real_roi_10,1150.2062983598073,766.7849783732987,"[1022.2062983598073, 638.7849783732987, 1278.2062983598073, 894.7849783732987]",3504,/Users/quynhnguyen/Downloads/Spatial-Omics-Copilot/evaluation_outputs/roi_crops/roi_real_roi_10_1022_638_1278_894.png,1,3,4,5,PASS,6,6,0,0,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.732123009000134,14371.267876991,99.80047136799305,5,3,0,True,completed,True,completed,,
